farmyr,Year,Longitude,Latitude
11-027-002-00020-06-00 2014,2014,-6.271114722,36.70477719
11-027-004-00001-02-00 2011,2011,-6.265731317,36.70502426
11-027-004-00001-02-00 2013,2013,-6.265742113,36.70501496
11-027-004-00005-02-00 2012,2012,-6.254823584,36.69873648
11-027-004-00005-03-00 2012,2012,-6.254823584,36.69873648
11-027-005-00007-01-00 2012,2012,-6.24325102,36.69628633
11-027-005-00007-01-00 2013,2013,-6.243239844,36.69628663
11-027-005-00008-01-00 2012,2012,-6.240682702,36.69348191
11-027-005-00014-11-00 2014,2014,-6.232858845,36.67899826
11-027-006-00005-01-00 2011,2011,-6.214171018,36.65817601
11-027-006-00010-02-00 2015,2015,-6.220128085,36.65834835
11-027-006-00015-02-00 2012,2012,-6.228788804,36.66487174
11-027-007-00001-01-00 2012,2012,-6.229350394,36.66064846
11-027-007-00001-01-00 2014,2014,-6.229084673,36.6601781
11-027-007-00003-01-01 2012,2012,-6.232962283,36.65074662
11-027-007-00008-02-00 2011,2011,-6.221509761,36.65205743
11-027-008-00006-01-00 2013,2013,-6.209317861,36.65038647
11-027-014-00026-01-00 2014,2014,-6.300303253,36.6405
11-027-015-00013-02-00 2015,2015,-6.282654013,36.65432398
11-027-018-00004-02-00 2014,2014,-6.27990929,36.68053962
11-027-022-00033-03-00 2011,2011,-6.240799467,36.64643352
11-028-004-00005-10-00 2012,2012,-6.094055607,36.56180433
11-028-004-00005-15-00 2013,2013,-6.094044808,36.56181362
11-028-004-00007-08-00 2011,2011,-6.069151881,36.54813864
11-028-004-00023-04-00 2011,2011,-6.081312691,36.55371811
11-028-004-00023-04-00 2012,2012,-6.081323491,36.55370882
11-028-004-00023-04-00 2013,2013,-6.081312691,36.55371811
11-028-004-00023-04-00 2014,2014,-6.078706203,36.55333494
11-028-004-00025-02-00 2012,2012,-6.068457155,36.54195275
11-028-007-00011-07-00 2011,2011,-6.029414444,36.54185648
11-028-010-00001-01-00 2012,2012,-6.052753137,36.50035804
11-028-010-80001-52-00 2014,2014,-6.040081715,36.51397378
11-028-011-00014-27-00 2012,2012,-6.074579619,36.50275275
11-028-011-00014-32-00 2012,2012,-6.074579619,36.50275275
11-028-011-00014-34-00 2011,2011,-6.077166035,36.50943551
11-028-013-00016-06-00 2011,2011,-6.060313493,36.4925225
11-028-013-00016-06-00 2012,2012,-6.062668412,36.49195738
11-028-014-00006-11-00 2014,2014,-6.047550415,36.49377766
11-028-014-00006-30-00 2015,2015,-6.049051154,36.49191897
11-028-015-00174-02-00 2011,2011,-6.098042445,36.47196629
11-028-015-00174-02-00 2013,2013,-6.097972372,36.47160765
11-028-015-00189-01-00 2015,2015,-6.105626301,36.47160678
11-028-041-00008-03-00 2012,2012,-6.129569565,36.49072433
11-028-050-00012-01-00 2011,2011,-6.123614975,36.52054551
11-030-002-00003-02-01 2011,2011,-6.353546328,36.70921201
11-030-002-00003-02-02 2011,2011,-6.35353515,36.70921232
11-030-002-00003-02-02 2014,2014,-6.353409636,36.70941409
11-030-002-00003-02-03 2011,2011,-6.353546328,36.70921201
11-030-002-00003-02-03 2013,2013,-6.352713512,36.70936164
11-032-004-00002-03-00 2012,2012,-6.245489541,36.7988208
11-032-004-00002-20-02 2012,2012,-6.247013321,36.79908553
11-032-004-00006-03-00 2014,2014,-6.248698223,36.79839071
11-032-005-00071-01-00 2012,2012,-6.297523582,36.78814324
11-032-005-00076-02-00 2011,2011,-6.295910414,36.79206251
11-032-006-00131-02-00 2011,2011,-6.290571662,36.77491029
11-032-006-00142-02-00 2012,2012,-6.29489155,36.76149105
11-032-006-00143-01-00 2012,2012,-6.298437688,36.75669821
11-032-006-00151-02-00 2013,2013,-6.305328024,36.7500012
11-032-006-00151-02-01 2014,2014,-6.306299714,36.74864062
11-032-006-00153-05-00 2012,2012,-6.309271744,36.75864968
11-032-007-00014-01-00 2014,2014,-6.319147285,36.73706451
11-032-027-00020-01-00 2011,2011,-6.315699057,36.76279558
11-034-019-00047-01-00 2018,2018,-5.252937889,36.88104253
11-035-031-00001-04-01 2014,2014,-5.716912873,36.18682503
11-037-007-00003-02-00 2014,2014,-6.143114548,36.87302008
11-037-008-00002-04-00 2015,2015,-6.127550389,36.86031414
11-037-010-00036-02-00 2012,2012,-6.201792372,36.84263607
11-037-010-00036-02-00 2014,2014,-6.20189142,36.84312898
11-037-010-00038-02-00 2013,2013,-6.197929216,36.84409176
11-037-010-00041-02-00 2011,2011,-6.19079038,36.84685183
11-037-010-00044-21-01 2012,2012,-6.185267937,36.85128918
11-039-007-00008-11-02 2014,2014,-5.924367272,36.33300127
11-039-034-00013-01-00 2011,2011,-6.050524932,36.24583846
11-039-038-00003-02-00 2015,2015,-6.051598379,36.27741502
11-039-045-00006-01-00 2012,2012,-5.952586221,36.31429218
11-039-045-00006-01-00 2015,2015,-5.953627018,36.3135455
11-039-046-00003-01-02 2013,2013,-5.942174961,36.32466044
11-039-059-00010-08-00 2011,2011,-5.951542613,36.30876666
11-041-012-00010-04-00 2014,2014,-5.683713662,36.96071911
11-041-016-00002-01-02 2015,2015,-5.592530298,36.93392405
11-041-032-00006-03-00 2015,2015,-5.607331341,36.78014526
11-043-004-00006-15-00 2015,2015,-5.773073743,36.34194345
11-043-007-00003-06-01 2015,2015,-5.784067075,36.32213874
11-044-004-00002-02-01 2011,2011,-5.83884141,36.64301207
11-044-006-00001-05-00 2011,2011,-5.803985132,36.64982213
11-044-006-00002-03-00 2012,2012,-5.390793078,36.94743644
11-044-006-00002-03-01 2013,2013,-5.795310458,36.64498855
11-044-006-00002-03-01 2014,2014,-5.793548577,36.64327259
14-005-006-00003-05-00 2012,2012,-4.950939635,37.85899466
14-005-006-00003-08-00 2014,2014,-4.950345748,37.85888735
14-005-010-00016-01-01 2012,2012,-4.943387399,37.80858109
14-005-010-00016-01-01 2016,2016,-4.947085676,37.80883541
14-005-010-00016-03-01 2014,2014,-4.947968833,37.80483755
14-005-010-00016-03-01 2017,2017,-4.948165654,37.8062762
14-005-011-00005-06-01 2013,2013,-4.984903127,37.80220215
14-005-011-00005-06-01 2018,2018,-4.978482736,37.79952553
