farmyr,Year,Longitude,Latitude
11-006-046-00056-01-0 2016,2016,-5.888466721,36.6749089
11-006-046-00059-01 2015,2015,-5.865902721,36.69241444
11-006-046-00059-01-0 2018,2018,-5.866075581,36.69224806
11-006-046-00059-01-00 2011,2011,-5.864800508,36.69407209
11-006-046-00059-01-00 2013,2013,-5.864800508,36.69407209
11-006-046-032-1 2012,2012,-5.872766093,36.68740966
11-006-046-040-1 2012,2012,-5.886216759,36.67906378
11-006-048-00008-00-00 2007,2007,-5.909227618,36.71488207
11-006-048-00008-01-00 2010,2010,-5.909428926,36.7157792
11-006-048-00009-01-00 2012,2012,-5.909025581,36.71131935
11-006-048-00009-01-00 2018,2018,-5.911165573,36.70930248
11-006-048-00013-00-c0 2008,2008,-5.899385647,36.71272623
11-006-048-00013-03-00 2011,2011,-5.897666616,36.71195708
11-006-048-00013-14-00 2011,2011,-5.902839408,36.71497598
11-006-048-00021-00-00 2008,2008,-5.907756098,36.69284898
11-006-048-00021-00-02 2006,2006,-5.905831009,36.69159006
11-006-048-00021-01-00 2011,2011,-5.904372446,36.60280725
11-006-048-00040-00-01 2006,2006,-5.908579054,36.70422918
11-006-048-00052-00 2011,2011,-5.912266706,36.69192832
11-006-048-00053-01-01 2018,2018,-5.914930184,36.69223257
11-006-048-00054-01 2017,2017,-5.912844153,36.69062554
11-006-048-00055-01-0 2018,2018,-5.915128511,36.69096609
11-006-048-00055-01-00 2013,2013,-5.914213123,36.69309722
11-006-048-00055-01-00 2014,2014,-5.91846254,36.68858641
11-006-048-00055-01-00 2015,2015,-5.91545684,36.69136356
11-006-048-00057-01-0 2016,2016,-5.914646946,36.68977034
11-006-048-00060-00-00 2006,2006,-5.914332565,36.68946336
11-006-048-00061-01-00 2017,2017,-5.915962197,36.68874685
11-006-048-00071-00-00 2007,2007,-5.908189209,36.70160734
11-006-048-00071-01-01 2009,2009,-5.908345063,36.70158551
11-006-048-00071-01-01 2018,2018,-5.909576841,36.69982517
11-006-062-00009-00-00 2006,2006,-5.787409999,36.80858446
11-006-062-00009-00-01 2007,2007,-5.787400198,36.80858614
11-006-062-00009-07-00 2013,2013,-5.789009214,36.80879927
11-006-062-00009-09-03 2012,2012,-5.789009214,36.80879927
11-006-064-00021-00-02 2006,2006,-5.798003318,36.76893641
11-006-064-00021-03 2015,2015,-5.799167265,36.76706161
11-006-064-00021-05-00 2017,2017,-5.796857701,36.76946802
11-006-064-00021-93-01 2018,2018,-5.801051076,36.77111756
11-006-064-00028-00-00 2006,2006,-5.777591607,36.77878729
11-006-064-00028-00-20 2007,2007,-5.777591607,36.77878729
11-006-064-00028-00-20 2008,2008,-5.777221389,36.77846251
11-006-064-00028-02-00 2015,2015,-5.778790102,36.77692089
11-006-064-00028-02-00 2018,2018,-5.778790102,36.77692089
11-006-064-00028-02-01 2009,2009,-5.777221064,36.7784535
11-006-067-00021-00-01 2007,2007,-5.76537521,36.75019953
11-006-067-00021-05-00 2013,2013,-5.764677898,36.75050295
11-006-071-00008-00-00 2008,2008,-5.677776045,36.76309885
11-006-071-00008-01-00 2010,2010,-5.677776045,36.76309885
11-006-071-00008-01-00 2012,2012,-5.674732356,36.76286095
11-006-071-00008-01-07 2018,2018,-5.674617306,36.76277342
11-006-071-00008-06-00 2011,2011,-5.677776045,36.76309885
11-006-071-00008-06-01 2015,2015,-5.683004236,36.75820464
11-006-071-00008-06-01 2017,2017,-5.682681257,36.75825699
11-006-074-00014-00-11 2007,2007,-5.68156822,36.73948309
11-006-074-00014-00-b0 2007,2007,-5.681558339,36.7394598
11-006-074-00014-00-e0 2007,2007,-5.681558339,36.7394598
11-006-074-00014-12-1 2017,2017,-5.688729496,36.74799993
11-006-074-00014-14-00 2012,2012,-5.681066401,36.74308118
11-006-074-00014-14-1 2017,2017,-5.679058134,36.73556537
11-006-074-00014-14-2 2017,2017,-5.684878334,36.7435359
11-006-074-00014-14-3 2017,2017,-5.683098106,36.74868587
11-006-074-00014-22 2017,2017,-5.690414763,36.73661574
11-006-074-00014-24-01 2018,2018,-5.677721709,36.74285915
11-006-074-00014-24-16 2018,2018,-5.680764388,36.74341242
11-006-074-00014-25-13 2018,2018,-5.676558098,36.74707592
11-006-074-00014-26-01 2018,2018,-5.674975232,36.7421279
11-006-074-00014-26-11 2018,2018,-5.674357647,36.74207871
11-006-074-00014-27-25 2018,2018,-5.670490388,36.74486922
11-006-083-00070-01-00 2012,2012,-5.760706932,36.73376113
11-006-083-00070-01-01 2010,2010,-5.760706932,36.73376113
11-006-086-00015-04-01 2016,2016,-5.806273543,36.70848906
11-006-086-00015-04-01 2017,2017,-5.780457156,36.73965432
11-006-086-00017-00-00 2008,2008,-5.781814511,36.73879349
11-006-086-00021-02 2012,2012,-5.786088991,36.73469219
11-006-086-00021-02-00 2009,2009,-5.784583356,36.73640365
