farmyr,Year,Longitude,Latitude
14-005-014-00001-00-d6 2006,2006,-5.03753118,37.79009268
14-005-014-00001-00-d6 2007,2007,-5.03753118,37.79009268
14-005-014-00001-00-d6 2008,2008,-5.03753118,37.79009268
14-005-014-00001-00-d6 2009,2009,-5.03753118,37.79009268
14-005-014-00001-00-d6 2010,2010,-5.03753118,37.79009268
14-030-001-00015-00-na 2007,2007,-5.044321935,37.78432461
14-030-001-00015-00-na 2008,2008,-5.044321935,37.78432461
14-030-001-00015-00-na 2009,2009,-5.044321935,37.78432461
14-030-001-00015-00-na 2010,2010,-5.044321935,37.78432461
14-030-001-00015-00-na 2011,2011,-5.044321935,37.78432461
14-030-001-00015-00-na 2012,2012,-5.044321935,37.78432461
14-030-001-00015-00-na 2013,2013,-5.044321935,37.78432461
14-030-001-00015-00-na 2014,2014,-5.044321935,37.78432461
14-030-003-00001-01-03 2009,2009,-5.079058608,37.73940775
14-030-003-00001-01-03 2010,2010,-5.079058608,37.73940775
14-030-003-00001-01-03 2011,2011,-5.07905855,37.73940568
14-030-003-00001-01-03 2012,2012,-5.07905855,37.73940568
14-030-003-00001-01-03 2013,2013,-5.07905855,37.73940568
14-030-003-00164-02-00 2010,2010,-5.07117373,37.72929811
14-030-003-00164-02-00 2011,2011,-5.07117373,37.72929811
14-030-003-00164-02-00 2012,2012,-5.070154056,37.72935208
14-030-003-00164-02-00 2013,2013,-5.070154056,37.72935208
14-030-004-001-0-00-1a 2007,2007,-5.123368631,37.73602118
14-030-004-001-0-00-1a 2008,2008,-5.123368631,37.73602118
14-030-004-00106-00-m8 2007,2007,-5.057558719,37.7182538
14-030-004-00106-03-00 2009,2009,-5.057558719,37.7182538
14-030-004-007-0-00-1a 2007,2007,-5.089564214,37.72559401
14-030-004-007-0-00-1a 2008,2008,-5.089564214,37.72559401
14-030-004-007-0-00-3a 2007,2007,-5.128810877,37.73912106
14-030-004-007-0-00-3a 2008,2008,-5.128810877,37.73912106
14-030-006-00001-00-c9 2006,2006,-5.101215093,37.69462954
14-030-006-00001-00-c9 2007,2007,-5.101215093,37.69462954
14-030-006-00005-02-01 2009,2009,-5.09330556,37.69607122
14-030-006-00005-02-01 2010,2010,-5.09330556,37.69607122
14-030-006-00005-02-01 2011,2011,-5.093305469,37.69606798
14-030-006-00005-02-01 2012,2012,-5.093305469,37.69606798
14-030-006-00005-02-01 2013,2013,-5.093305469,37.69606798
14-030-006-00009-00-m0 2007,2007,-5.089632793,37.69452003
14-030-006-00009-01-00 2009,2009,-5.089632892,37.69452354
14-030-006-00009-01-00 2010,2010,-5.089632892,37.69452354
14-030-006-00009-01-00 2011,2011,-5.089632793,37.69452003
14-030-008-006-0-00-1a 2007,2007,-5.140852278,37.73050396
14-030-008-006-0-00-1a 2008,2008,-5.140852278,37.73050396
14-030-009-00029-01-00 2012,2012,-5.139845559,37.69907127
14-030-009-00029-01-00 2013,2013,-5.139845559,37.69907127
14-030-009-00029-01-00 2014,2014,-5.139845559,37.69907127
14-030-009-00029-01-00 2015,2015,-5.139845559,37.69907127
14-030-009-00029-01-00 2016,2016,-5.139845559,37.69907127
14-030-009-00080-00-01 2006,2006,-5.153561823,37.67491325
14-030-010-003-0-00-1a 2007,2007,-5.057558719,37.7182538
14-030-010-003-0-00-1a 2008,2008,-5.057558719,37.7182538
14-030-011-00051-01-00 2012,2012,-5.124987053,37.73000712
14-030-011-00051-01-00 2013,2013,-5.124987053,37.73000712
14-030-011-00051-01-00 2014,2014,-5.124987053,37.73000712
14-030-011-00051-01-00 2015,2015,-5.124987053,37.73000712
14-030-011-00051-01-00 2016,2016,-5.124987053,37.73000712
14-030-011-00060-00-g9 2006,2006,-5.118238213,37.73367026
14-030-011-00060-01-00 2009,2009,-5.118347815,37.73353455
14-030-011-00060-01-00 2010,2010,-5.118347815,37.73353455
14-030-011-00060-01-00 2011,2011,-5.118347774,37.73353311
14-030-011-00064-01 2017,2017,-5.121380097,37.72845901
14-030-011-00064-01 2018,2018,-5.121380097,37.72845901
14-030-011-00064-01-00 2019,2019,-5.121380097,37.72845901
14-030-011-00072-01 2011,2011,-5.117124325,37.72882393
14-030-011-00072-01 2012,2012,-5.117124325,37.72882393
14-030-011-00094-01 2011,2011,-5.113924919,37.72803426
14-030-011-00094-01 2012,2012,-5.113924919,37.72803426
14-030-011-00094-01 2013,2013,-5.113924919,37.72803426
14-030-011-00094-01 2014,2014,-5.113924919,37.72803426
14-030-011-00094-01 2015,2015,-5.113924919,37.72803426
14-030-011-00105-00-01 2006,2006,-5.108804768,37.72592713
14-030-011-00151-01-00 2009,2009,-5.118146196,37.71570696
14-030-011-00151-01-00 2010,2010,-5.118146196,37.71570696
14-030-011-00151-01-00 2011,2011,-5.118146068,37.71570246
14-030-011-00192-01-00 2009,2009,-5.14048964,37.72933749
14-030-011-00193-00-m6 2007,2007,-5.140852278,37.73050396
14-030-011-00196-01 2017,2017,-5.136799559,37.72845977
14-030-011-00196-01 2018,2018,-5.136799559,37.72845977
14-030-011-00196-01-00 2019,2019,-5.136799559,37.72845977
14-030-011-00216-01-00 2010,2010,-5.124822679,37.7235739
14-030-011-00216-01-00 2011,2011,-5.124825649,37.72356663
14-030-011-00249-00-c5 2006,2006,-5.118719447,37.71990065
14-030-011-00249-00-c5 2007,2007,-5.118719447,37.71990065
14-030-011-00249-01 2017,2017,-5.119918725,37.71819388
14-030-011-00249-01 2018,2018,-5.119918725,37.71819388
14-030-011-00249-01-00 2012,2012,-5.118694716,37.719829
14-030-011-00249-01-00 2013,2013,-5.118694716,37.719829
14-030-011-00249-01-00 2014,2014,-5.118694716,37.719829
14-030-011-00249-01-00 2015,2015,-5.118694716,37.719829
14-030-011-00249-01-00 2016,2016,-5.118694716,37.719829
14-030-011-00249-01-00 2019,2019,-5.119918725,37.71819388
14-030-011-00262-01 2017,2017,-5.13776709,37.72304419
14-030-011-00262-01 2018,2018,-5.13776709,37.72304419
14-030-011-00262-01-00 2019,2019,-5.13776709,37.72304419
14-030-012-00030-03 2011,2011,-5.110946247,37.74779637
14-030-012-00030-03 2012,2012,-5.110946247,37.74779637
14-030-012-00031-00-01 2006,2006,-5.108053073,37.74822666
14-030-012-00048-00-01 2006,2006,-5.10954653,37.73687216
14-030-012-00059-00-m9 2007,2007,-5.123368631,37.73602118
14-030-012-00059-01-00 2009,2009,-5.123377477,37.73602102
14-030-012-00059-01-00 2010,2010,-5.123377477,37.73602102
14-030-012-00059-01-00 2011,2011,-5.123377446,37.73601994
14-030-012-00059-01-00 2012,2012,-5.123377446,37.73601994
14-030-012-00059-01-00 2013,2013,-5.123377446,37.73601994
14-030-012-00089-00-01 2006,2006,-5.141866711,37.74168708
14-030-012-00095-00-01 2006,2006,-5.138591988,37.74540532
14-030-012-00095-01-00 2009,2009,-5.140852278,37.73050396
14-030-012-00095-01-00 2010,2010,-5.140852278,37.73050396
14-030-012-00095-01-00 2011,2011,-5.140852278,37.73050396
14-030-012-00095-01-00 2012,2012,-5.140852278,37.73050396
14-030-012-00095-01-00 2013,2013,-5.140852278,37.73050396
14-030-012-00099-00-m2 2007,2007,-5.136822302,37.74937554
14-030-012-00099-02-02 2009,2009,-5.135775962,37.75087784
14-030-012-00099-02-02 2010,2010,-5.135775962,37.75087784
14-030-012-00099-02-02 2011,2011,-5.135775806,37.75087244
14-030-012-00099-02-02 2012,2012,-5.135775806,37.75087244
14-030-012-00099-02-02 2013,2013,-5.135775806,37.75087244
14-030-012-00169-01 2017,2017,-5.13673035,37.73710326
