farmyr,Year,Longitude,Latitude
11-023-067-00001-02 2016,2016,-5.801424583,36.31779806
11-023-067-00001-02 2017,2017,-5.802668518,36.31584026
11-023-067-00001-02 2018,2018,-5.802668518,36.31584026
11-023-067-00001-02 2019,2019,-5.802668518,36.31584026
11-023-067-00001-02-00 2015,2015,-5.799791509,36.23225578
11-023-067-00001-02-1 2011,2011,-5.804276335,36.31024199
11-023-067-00001-03 2009,2009,-5.80504298,36.30409099
11-023-067-00001-03-12 2010,2010,-5.802752363,36.31507226
11-023-067-00001-03-5 2010,2010,-5.803987132,36.31037495
11-023-067-00002-01 2012,2012,-5.796089118,36.30779332
11-023-067-00002-01 2013,2013,-5.796089118,36.30779332
11-023-067-00002-01 2014,2014,-5.796089118,36.30779332
11-023-067-00002-01 2016,2016,-5.796089118,36.30779332
11-023-067-00002-01 2017,2017,-5.79749882,36.30548923
11-023-067-00002-01 2018,2018,-5.79749882,36.30548923
11-023-067-00002-01 2019,2019,-5.79749882,36.30548923
11-023-068-00001-01 2009,2009,-5.797635532,36.30532985
11-023-068-00001-01-00 2015,2015,-5.799768869,36.3004703
11-023-068-00001-01-3 2010,2010,-5.801228399,36.30174286
11-023-068-00003-01 2009,2009,-5.798168193,36.2991785
11-023-068-00015-03 2012,2012,-5.799115069,36.2949521
11-023-068-00015-03 2013,2013,-5.799115069,36.2949521
11-023-068-00015-03 2014,2014,-5.799115069,36.2949521
11-023-068-00015-03 2016,2016,-5.799115069,36.2949521
11-023-068-00015-03 2017,2017,-5.80099212,36.30540737
11-023-068-00015-03 2018,2018,-5.80099212,36.30540737
11-023-068-00015-03 2019,2019,-5.80099212,36.30540737
11-023-068-00015-03-1 2011,2011,-5.795571391,36.29891034
11-035-005-00002-03-00 2012,2012,-5.769633438,36.22563071
11-035-005-00002-04-00 2012,2012,-5.769633438,36.22563071
11-035-005-00002-04-00 2014,2014,-5.76878282,36.22326256
11-035-005-00002-04-03 2016,2016,-5.770601677,36.22342771
11-035-005-00008-05-00 2014,2014,-5.763513082,36.21132584
11-035-005-00008-06-00 2014,2014,-5.763513082,36.21132584
11-035-005-00008-06-1 2010,2010,-5.763581147,36.21064186
11-035-005-00008-06-1 2011,2011,-5.763577896,36.2106394
11-035-005-00008-06-a 2012,2012,-5.763049221,36.21584278
11-035-005-00008-07 2009,2009,-5.763581096,36.21064185
11-035-005-00008-07 2013,2013,-5.769327906,36.21254319
11-035-005-00011-01-00 2012,2012,-5.779156898,36.22630475
11-035-005-00011-04-00 2012,2012,-5.779156898,36.22630475
11-035-005-00011-04-00 2016,2016,-5.779507708,36.22396003
11-035-005-00011-06-00 2014,2014,-5.773425231,36.22810277
11-035-005-00011-07-00 2012,2012,-5.779156898,36.22630475
11-035-028-00041-02-0 2013,2013,-5.717908461,36.17285095
11-035-028-00041-02-00 2009,2009,-5.717564358,36.17272358
11-035-028-00041-02-1 2011,2011,-5.717908461,36.17285095
11-035-028-00041-02-6 2010,2010,-5.717904883,36.17285582
11-035-028-00041-02-a 2012,2012,-5.716053654,36.17321752
11-035-028-00041-10-00 2014,2014,-5.717654241,36.17289277
11-039-013-00002-16-01 2011,2011,-5.882206973,36.27246497
11-039-013-00002-16-01 2012,2012,-5.882206973,36.27246497
11-039-013-00002-16-1 2010,2010,-5.884358945,36.27082232
11-039-013-00002-26 2009,2009,-5.886172427,36.27545905
11-039-013-00002-26-00 2013,2013,-5.887665455,36.26686286
11-039-013-00002-26-00 2014,2014,-5.887665455,36.26686286
11-039-013-00002-26-00 2015,2015,-5.887665455,36.26686286
11-039-013-00002-26-00 2016,2016,-5.887665455,36.26686286
11-039-013-00002-26-00 2017,2017,-5.887665455,36.26686286
11-039-013-00002-26-00 2018,2018,-5.887665455,36.26686286
11-039-013-00002-26-00 2019,2019,-5.887665455,36.26686286
11-039-013-00002-26-01 2011,2011,-5.882152895,36.27008708
11-039-013-00002-26-01 2012,2012,-5.882152895,36.27008708
11-039-013-00004-01-2 2010,2010,-5.887770743,36.26527752
11-039-013-00004-02-00 2012,2012,-5.866373842,36.26314875
11-039-013-00004-02-00 2015,2015,-5.866373842,36.26314875
11-039-013-00004-02-00 2016,2016,-5.866373842,36.26314875
11-039-013-00004-02-00 2017,2017,-5.866373842,36.26314875
11-039-013-00004-02-00 2018,2018,-5.866373842,36.26314875
11-039-013-00004-02-00 2019,2019,-5.866373842,36.26314875
11-039-013-00004-02-01 2013,2013,-5.866373842,36.26314875
11-039-013-00004-02-01 2014,2014,-5.866373842,36.26314875
11-039-013-00004-02-03 2012,2012,-5.936488481,36.27759594
11-039-013-00004-03 2009,2009,-5.875423952,36.26402398
11-039-013-00004-03-00 2012,2012,-5.876481598,36.26232912
11-039-013-00004-03-01 2009,2009,-5.872823171,36.26483237
11-039-013-00004-03-01 2010,2010,-5.872823171,36.26483237
11-039-013-00004-03-01 2011,2011,-5.872823171,36.26483237
11-039-013-00004-03-1 2011,2011,-5.875419759,36.26402192
11-039-013-00004-03-2 2010,2010,-5.875282352,36.26292457
11-039-013-00004-03-a 2012,2012,-5.876769611,36.26380919
11-039-013-00004-04 2012,2012,-5.869955424,36.2579349
11-039-013-00004-04-00 2013,2013,-5.875419759,36.26402192
11-039-013-00004-04-00 2014,2014,-5.862601192,36.26862844
11-039-013-00004-04-01 2015,2015,-5.862601192,36.26862844
11-039-013-00004-04-01 2016,2016,-5.862601192,36.26862844
11-039-013-00004-04-01 2017,2017,-5.862601192,36.26862844
11-039-013-00004-04-01 2018,2018,-5.862601192,36.26862844
11-039-013-00004-04-01 2019,2019,-5.862601192,36.26862844
11-039-013-00004-06 2009,2009,-5.875423952,36.26402398
11-039-013-00004-06-00 2013,2013,-5.882206973,36.27246497
11-039-013-00004-06-00 2014,2014,-5.882206973,36.27246497
11-039-013-00004-06-00 2015,2015,-5.882206973,36.27246497
11-039-013-00004-06-00 2016,2016,-5.882206973,36.27246497
11-039-013-00004-06-00 2017,2017,-5.882206973,36.27246497
11-039-013-00004-06-00 2018,2018,-5.882206973,36.27246497
11-039-013-00004-06-00 2019,2019,-5.882206973,36.27246497
11-039-013-00005-22-0 2009,2009,-5.929576322,36.2760984
11-039-013-00005-22-0 2010,2010,-5.929576322,36.2760984
11-039-013-00005-22-00 2013,2013,-5.929576322,36.2760984
11-039-013-00005-22-00 2014,2014,-5.929576322,36.2760984
11-039-013-00005-22-00 2015,2015,-5.929576322,36.2760984
11-039-013-00005-22-00 2016,2016,-5.929576322,36.2760984
11-039-013-00005-22-00 2017,2017,-5.929576322,36.2760984
11-039-013-00005-22-00 2018,2018,-5.929576322,36.2760984
11-039-013-00005-23-01 2019,2019,-5.929576322,36.2760984
11-039-013-00005-24-00 2013,2013,-5.929587441,36.27609813
11-039-013-00005-24-00 2014,2014,-5.929587441,36.27609813
11-039-013-00005-24-00 2015,2015,-5.929443684,36.27225354
11-039-013-00005-24-00 2016,2016,-5.929443684,36.27225354
11-039-013-00005-24-00 2017,2017,-5.929443684,36.27225354
11-039-013-00005-24-00 2018,2018,-5.929443684,36.27225354
11-039-013-00005-33-00 2009,2009,-5.929576322,36.2760984
