Dataset ID,Band ID,Spatiotemporal Aggregation Function,Pixel Value Transform,Notes,GEE link,Description,Historical Range,Seasonal Range,Spatial Range,Valid Years
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum ,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_mean(1, 365)",,"May want to be able to specify days before sampling date: seasonal_max([-90,0;])",https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual average,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_mean(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,10 years prior,1-365,0,
