Year,X,Y
2003,9.890265795,51.66193772
2003,9.890265795,51.66193772
2001,9.890265795,51.66193772
2001,9.890265795,51.66193772
2001,9.890265795,51.66193772
2002,9.890265795,51.66193772
2002,9.890265795,51.66193772
2002,9.890265795,51.66193772
2001,9.868598644,51.60332658
2001,9.868598644,51.60332658
2003,9.868598644,51.60332658
2003,9.868598644,51.60332658
2001,9.813320074,51.50443803
2003,9.756375535,51.44916147
2003,9.756375535,51.44916147
2001,9.756375535,51.44916147
2001,9.756375535,51.44916147
2002,9.738597871,51.5211056
2002,9.738597871,51.5211056
2001,9.738597871,51.5211056
2001,9.738597871,51.5211056
2001,9.994154197,51.5574931
2001,9.943598766,51.60638198
2001,9.943598766,51.60638198
2003,9.943598766,51.60638198
2003,9.943598766,51.60638198
2002,9.918320428,51.50054884
2002,9.918320428,51.50054884
2002,9.918320428,51.50054884
2003,9.918320428,51.50054884
2003,9.918320428,51.50054884
2003,9.918320428,51.50054884
2001,9.918320428,51.50054884
2001,9.918320428,51.50054884
2001,9.918320428,51.50054884
2001,10.11359998,51.4766609
2002,10.27054451,51.56332674
2002,10.27054451,51.56332674
2001,10.27054451,51.56332674
2001,10.27054451,51.56332674
2001,10.03832106,51.60554838
2003,10.1591551,51.67499253
2003,10.1591551,51.67499253
2003,10.1591551,51.67499253
2001,10.1591551,51.67499253
2001,10.1591551,51.67499253
2001,10.1591551,51.67499253
2002,10.1591551,51.67499253
2002,10.1591551,51.67499253
2002,10.1591551,51.67499253
2007,151.0582903,-26.84582179
2008,151.0582903,-26.84582179
2007,151.0760518,-26.87491493
2008,151.0760518,-26.87491493
2007,151.0759042,-26.87476822
2008,151.0759042,-26.87476822
2007,151.0886808,-26.8384868
2008,151.0886808,-26.8384868
2007,151.1049118,-26.85468478
2008,151.1049118,-26.85468478
2007,151.0898483,-26.91744815
2008,151.0898483,-26.91744815
2007,151.0586855,-26.84657985
2008,151.0586855,-26.84657985
2007,151.0751449,-26.87532914
2008,151.0751449,-26.87532914
2007,151.075003,-26.87518801
2008,151.075003,-26.87518801
2007,151.1173341,-27.25137694
2008,151.1173341,-27.25137694
2007,151.1038409,-27.25667557
2008,151.1038409,-27.25667557
2007,151.0655807,-27.28652321
2008,151.0655807,-27.28652321
2007,151.0845563,-27.28027663
2008,151.0845563,-27.28027663
2007,151.0664968,-27.27958358
2008,151.0664968,-27.27958358
2007,151.0638876,-27.25132557
2008,151.0638876,-27.25132557
2007,151.1181812,-27.2516046
2008,151.1181812,-27.2516046
2007,151.1036482,-27.25752741
2008,151.1036482,-27.25752741
2007,151.0667297,-27.28664987
2008,151.0667297,-27.28664987
2002,5.237123,51.59996
2003,5.237123,51.59996
2002,5.717448,52.633855
2003,5.717448,52.633855
2002,5.72352,52.707361
2003,5.72352,52.707361
2002,6.169845,52.518494
2003,6.169845,52.518494
2002,5.167904,52.067515
2003,5.167904,52.067515
2002,4.707382,52.215161
2003,4.707382,52.215161
2002,6.157092,52.734958
2003,6.157092,52.734958
2002,6.676326,52.244055
2003,6.676326,52.244055
2002,4.998812,52.77891
2003,4.998812,52.77891
2002,5.473479,53.224136
2003,5.473479,53.224136
2002,6.719899,52.854728
2003,6.719899,52.854728
2002,5.202695,51.62604
2003,5.202695,51.62604
2002,6.332159,51.898248
2003,6.332159,51.898248
2002,6.110926,53.387436
2003,5.394857,51.884836
2003,6.986878,52.376425
2002,5.117557,51.446803
2003,5.117557,51.446803
2002,4.960778,51.801334
2003,4.960778,51.801334
2002,3.578007,51.570354
2003,3.578007,51.570354
2002,3.929964,51.696742
2002,3.616278,51.456888
2003,3.616278,51.456888
2002,5.3815,52.309232
2003,5.3815,52.309232
2002,6.288366,52.598146
2006,5.168081,52.067174
2006,5.71804,52.634051
2006,6.33136,51.898254
2006,6.98669,52.376104
2006,6.709754,52.864413
2006,5.236748,51.600085
2006,5.119599,51.44688
2006,5.203116,51.625538
2006,3.616188,51.456985
2006,5.471993,53.221945
2006,3.582852,51.572974
2006,4.706234,52.206049
2006,5.13356,51.541301
2006,6.32209,52.266679
2006,4.606142,51.72077
2006,5.680364,51.986487
2006,5.003545,52.774953
2006,5.392983,51.880657
2006,3.929724,51.69655
2006,6.166638,52.518785
2006,6.15587,52.735335
2006,5.722788,52.706455
2012,13.925261,55.50995
2012,13.993419,56.149136
2012,14.129739,55.545372
2012,13.882141,55.55151
2012,14.147092,55.797911
